Label: Vasto lateral direito: EMG 1->Scale->Math Sampling frequency: 1,925926e+003 Number of points: 58682 X start: 0,000000e+000 Unit: Volts Domain Unit: s
X [s]	Vasto lateral direito: EMG 1->Scale->Math [Volts]
2,331346e-001	1,610514e-005
2,336538e-001	1,695277e-005
2,341731e-001	8,476387e-007
2,346923e-001	5,763943e-006
2,352115e-001	9,154497e-006
2,357308e-001	3,102357e-005
2,362500e-001	3,729610e-005
2,367692e-001	2,865019e-005
2,372885e-001	2,661586e-005
2,378077e-001	3,271886e-005
2,383269e-001	2,254719e-005
2,388462e-001	1,390127e-005
2,393654e-001	4,322957e-005
2,398846e-001	3,678752e-005
2,404038e-001	1,186694e-005
2,409231e-001	5,933471e-006
2,414423e-001	6,611582e-006
2,419615e-001	6,950637e-006
2,424808e-001	2,424247e-005
2,430000e-001	3,034546e-005
2,435192e-001	2,458152e-005
2,440385e-001	9,663081e-006
2,445577e-001	5,933471e-006
2,450769e-001	9,663081e-006
2,455962e-001	4,238194e-006
2,461154e-001	2,525963e-005
2,466346e-001	2,305577e-005
2,471538e-001	2,542916e-006
2,476731e-001	7,289692e-006
2,481923e-001	3,899138e-006
2,487115e-001	4,085619e-005
2,492308e-001	9,476601e-005
2,497500e-001	1,276544e-004
2,502692e-001	1,000214e-004
2,507885e-001	3,916091e-005
2,513077e-001	2,390341e-005
2,518269e-001	7,137117e-005
2,523462e-001	8,900206e-005
2,528654e-001	4,272099e-005
2,533846e-001	1,186694e-006
2,539038e-001	5,424887e-006
2,544231e-001	3,729610e-006
2,549423e-001	4,916305e-006
2,554615e-001	1,101930e-005
2,559808e-001	2,254719e-005
2,565000e-001	2,712444e-005
2,570192e-001	3,746563e-005
2,575385e-001	5,780896e-005
2,580577e-001	7,628748e-005
2,585769e-001	8,272954e-005
2,590962e-001	7,984757e-005
2,596154e-001	5,984329e-005
2,601346e-001	1,474891e-005
2,606538e-001	4,034760e-005
2,611731e-001	6,984543e-005
2,616923e-001	5,492699e-005
2,622115e-001	1,440986e-005
2,627308e-001	2,305577e-005
2,632500e-001	3,339697e-005
2,637692e-001	1,610514e-005
2,642885e-001	4,238194e-006
2,648077e-001	1,084977e-005
2,653269e-001	3,899138e-006
2,658462e-001	1,508797e-005
2,663654e-001	2,424247e-005
2,668846e-001	1,644419e-005
2,674038e-001	1,000214e-005
2,679231e-001	1,118883e-005
2,684423e-001	1,678325e-005
2,689615e-001	2,254719e-005
2,694808e-001	2,051286e-005
2,700000e-001	9,154497e-006
2,705192e-001	2,203861e-006
2,710385e-001	1,017166e-006
2,715577e-001	5,085832e-006
2,720769e-001	3,899138e-006
2,725962e-001	3,305791e-005
2,731154e-001	6,459007e-005
2,736346e-001	7,781323e-005
2,741538e-001	5,984329e-005
2,746731e-001	1,796994e-005
2,751923e-001	1,339269e-005
2,757115e-001	2,339483e-005
2,762308e-001	3,153216e-005
2,767500e-001	4,322957e-005
2,772692e-001	5,102785e-005
2,777885e-001	3,966949e-005
2,783077e-001	2,475105e-005
2,788269e-001	1,780041e-005
2,793462e-001	2,542916e-006
2,798654e-001	2,186908e-005
2,803846e-001	2,458152e-005
2,809038e-001	1,695277e-006
2,814231e-001	2,966735e-005
2,819423e-001	3,356649e-005
